name,strain_dil,dilution,r,OD,FSC-A,SSC-A,FL1-A,FL3-A,FSC-H,SSC-H,FL1-H,FL3-H,Width,Time,sFSC-A,sSSC-A,sFL1-A,sFL3-A,sFSC-H,sSSC-H,sFL1-H,sFL3-H,sWidth,sTime,numstrain
G09,JAC53_000,9,1,0.072,18093.28845,3200.15765,2097.0337,1897.23565,57444.9885,8355.01125,2948.9818,2520.69335,19.18975,301.91965,13468.23914,44685.41039,698.6029704,668.9583028,22722.2308,71521.63134,775.5719061,821.850525,5.166279603,77.56945013,53
G10,JAC53_000,9,2,0.071,19102.5689,3739.26855,2089.7972,1897.35525,58289.54215,8351.71715,2915.61345,2499.47545,19.35695,424.31365,69032.99638,81668.31504,877.360666,789.6786647,49712.8123,53344.25594,859.3819282,854.0363862,6.081129558,112.6125085,53
G11,JAC53_000,9,3,0.073,20591.54365,3078.102,2203.78055,2017.1047,56450.3621,7273.0763,2642.273,2337.71515,21.72735,2058750.837,12939.61614,9610.653762,848.8803358,819.2299594,18099.98954,8592.956521,678.0779203,745.4361912,6.387065991,25.87030536,53
G12,JAC53_000,12,3,0.074,25116.80065,3515.15445,2314.2473,1559.6751,65011.2557,8129.52,2624.24205,1675.09365,24.09335,2921340.336,15014.65273,11287.27823,756.5695851,547.6557789,28174.50678,17054.85696,658.510999,543.9219459,6.60571236,40.64156951,53
H01,JAC53_000,4,1,0.211,18684.2611,3139.0668,2187.7342,2624.7143,59939.7818,8538.48495,3156.6526,3672.5617,19.0103,194.12355,48278.45798,29196.20561,931.9849139,979.3820854,37118.75811,28140.85818,862.6034331,1049.855983,5.959110161,14.82525836,53
H02,JAC53_000,4,2,0.227,21031.2108,3824.98305,2313.3192,2908.05775,54028.889,8914.28425,2767.68775,3466.09605,23.2995,205.78025,11679.90059,15856.94109,1046.78443,1162.132759,13489.7434,11362.79811,817.1503864,1012.73567,9.313597573,9.839789629,53
H03,JAC53_000,4,3,0.143,20700.88035,3066.14555,2191.46935,2742.2471,57004.0614,7510.8488,2620.99475,3232.03895,21.84125,168.5102,8148.906425,3347.592146,889.6475868,1055.446872,14648.60958,6208.949417,707.7999405,920.5877107,6.618840415,5.226499398,53
H05,JAC53_000,8,1,0.066,21073.6838,3856.5475,2236.189,1969.3632,55161.912,7585.0697,2650.92265,2254.25445,21.965,206.5452,78687.73411,98220.58617,783.3614145,766.231492,36800.85757,43218.04604,660.036389,735.8085519,6.499205721,26.23694832,53
H06,JAC53_000,8,2,0.073,18818.11575,2656.1917,2126.122,1883.79545,57619.4809,7140.2392,2882.60595,2412.38785,19.78705,293.24,22387.71019,11036.33979,705.7599973,695.4257408,21647.01339,10156.577,739.4017661,791.8647054,5.542914603,57.54003737,53
H07,JAC53_000,8,3,0.065,19681.857,3667.7904,2108.8314,1911.91855,59394.9184,8510.7844,2857.20525,2449.3761,19.81635,365.52605,46450.32089,112945.9504,770.4017806,799.1160923,69386.66687,147872.51,791.8684181,837.4346821,5.841183329,80.50095168,53
H08,JAC53_000,11,3,0.065,19790.1731,2894.34835,2176.74055,1946.1561,56953.51205,7388.82225,2731.5999,2334.55715,20.94415,238.6123,8302.33061,2441.888152,724.1288337,672.0931518,17774.16757,5351.655091,697.4485046,767.2276912,5.372981554,35.96432661,53
H09,JAC53_000,10,1,0.204,24541.11625,3843.47045,2623.35865,3413.8781,60853.9779,8498.16055,2846.32605,3699.51745,24.32415,196.6696,11521.31614,4012.255177,1291.710344,1613.349482,17576.77867,7391.697694,882.7763582,1176.430984,8.622237342,18.88232072,53
H10,JAC53_000,10,2,0.197,22103.1018,3297.60235,2364.3056,3174.84595,60220.497,8005.16935,2810.82415,3736.4597,22.29995,166.9204,9446.013183,3315.172138,1048.358998,1346.746216,16755.49033,7042.00372,819.6587921,1105.021657,7.377708316,2.771888136,53
H11,JAC53_000,10,3,0.19,24091.7391,3629.44305,2578.9517,3529.19965,61006.96095,8233.59525,2858.7376,3898.7292,23.88105,2959590.525,11726.41025,3722.819161,1424.857581,1879.149642,18137.5731,7213.793875,957.895314,1321.95672,8.548888869,18.0437573,53
H12,JAC53_000,12,3,0.399,30370.0511,4803.8564,2909.62595,1933.2307,70928.22855,10026.7486,2977.79735,1956.87875,27.1995,3889007.632,14114.16199,4313.759746,1270.220593,803.169593,22814.06251,7651.246602,870.8971218,657.734734,9.78175852,35.04005967,53
